factor_name,factors,top_n,rebalance_days,industry_cap,weight_mode,total_return,annualized_return,max_drawdown,sharpe,final_value,avg_turnover,avg_holdings,avg_fee,avg_cash
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",12,40,1,inverse_vol,0.7261530995814494,0.08433682350898453,0.12386159790904827,0.6435540526720053,103400.14103999999,0.6310947921741593,11.116279069767442,102.62462697674418,0.1846506770570952
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",6,20,2,inverse_vol,0.9296295840074835,0.10240765930337159,0.28337013409305334,0.6434299886650766,115640.11488000001,0.47036811516268034,6.0,60.93982494117647,0.09748574003140575
value_lowvol,"earnings_yield,cashflow_yield,sales_yield,low_vol_60",6,40,1,equal,1.1971637650061409,0.12384367209076608,0.2168960872531147,0.6433344798844899,131672.41353000005,0.5236256453207587,6.0,67.45549930232558,0.08606844589591432
value_quality_cash_growth,"earnings_yield,cashflow_yield,quality_roe,growth_peg",10,30,2,equal,1.0778789007256537,0.11457742016362138,0.2820888298348867,0.6432207276225653,124491.28143999993,0.4454228632813468,9.807017543859649,65.83716771929824,0.17006723263190424
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",8,60,2,equal,1.0997163020656302,0.11630708803434575,0.2561560459249631,0.6418748043271102,125812.51232000001,0.6959940177821211,8.0,94.8444027586207,0.11618901226461448
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",15,20,1,inverse_vol,0.6693702538493105,0.07897051772334107,0.151518979944831,0.641577746485147,99973.40004000004,0.3683656618811187,13.647058823529411,75.37176423529412,0.2006310566224374
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",10,40,1,inverse_vol,0.8565891594742541,0.09611623989632978,0.19675041300253449,0.6409112068799786,111229.16605,0.5595143762296764,9.372093023255815,84.39148720930233,0.17577059162743275
v3_no_amihud_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,quality_roe",8,20,2,equal,1.1734887977755797,0.12203923590258836,0.23440020567105457,0.6407256648329371,130237.84159999997,0.382488632638118,7.964705882352941,53.790098823529405,0.13957999415403546
value_quality_cash_growth,"earnings_yield,cashflow_yield,quality_roe,growth_peg",8,30,1,inverse_vol,0.9860058842826673,0.10712645900549722,0.27712667818692316,0.6397093564645413,119005.96230999992,0.5210462329380479,7.43859649122807,66.50943315789473,0.17722458961202142
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",10,30,2,equal,0.8666839441229248,0.0969981852156312,0.21471569664715173,0.6378398811263098,111836.01655999997,0.6060742223925647,9.789473684210526,86.50848140350877,0.15794380093343477
cash_growth_quality_momo,"cashflow_yield,growth_peg,quality_roe,momentum_60",12,30,2,inverse_vol,0.8835298427653591,0.09846094675615302,0.18366046823896032,0.6376885249142669,112826.94268000001,0.6791638038509745,10.736842105263158,106.70276,0.20174524963216695
value_quality_cash_growth,"earnings_yield,cashflow_yield,quality_roe,growth_peg",10,20,2,equal,1.0982886263464944,0.11619447579897302,0.22754136113127965,0.636682851977989,125714.08267999996,0.3551321796509824,9.823529411764707,56.59902729411764,0.1692502151791812
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",12,20,1,inverse_vol,0.7480794278576874,0.08636880975705075,0.21172692918325609,0.6355528201373102,104710.72108000003,0.4166646061657787,11.282352941176471,72.65034023529412,0.17453105967341767
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",6,30,2,equal,1.0899765217362383,0.115537534455052,0.3524786084493374,0.6354010975550506,125249.0218,0.5906960700920656,6.0,68.33295087719299,0.09725255629546187
value_quality_cash_growth,"earnings_yield,cashflow_yield,quality_roe,growth_peg",8,30,2,inverse_vol,0.9469602186437518,0.10387062755019638,0.255019074182828,0.6348108292668105,116662.27590999992,0.5184865022937007,7.473684210526316,66.99515947368421,0.1718506738036935
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",8,20,1,inverse_vol,0.8599628128005856,0.09641143734891044,0.2613594898349343,0.6346845471350165,111445.86128999999,0.4893860325829183,7.8352941176470585,68.40163188235294,0.12530942906250478
value_quality_cash_growth,"earnings_yield,cashflow_yield,quality_roe,growth_peg",8,40,1,equal,1.1489909429604248,0.1201543723788705,0.2635434803818043,0.6337923800785502,128771.14116,0.5332069260845395,7.906976744186046,71.8571823255814,0.15414016945734654
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",12,40,2,inverse_vol,0.7138049366696682,0.08318278254021583,0.14997353083874998,0.6330731409795306,102660.16747999996,0.6250782718181371,11.093023255813954,102.01936093023255,0.180192879536759
cash_growth_quality_momo,"cashflow_yield,growth_peg,quality_roe,momentum_60",6,30,1,equal,1.3196259659725689,0.13292124569027708,0.31824500180504545,0.6308106009013312,139012.26401,0.87033704988597,5.9298245614035086,104.6620349122807,0.14189460393989303
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",12,40,1,equal,0.9307612736001607,0.10250353186233752,0.21314685923738397,0.6303572208730517,115655.14703999995,0.5104361062863305,11.767441860465116,82.81053395348836,0.1781764757538261
cash_growth_lowvol,"cashflow_yield,growth_peg,quality_roe,low_vol_60",8,60,2,inverse_vol,0.9356358642446132,0.10291594290198991,0.24755617779832295,0.6282261592446071,115984.26981,0.9419579627622967,7.827586206896552,113.57690310344829,0.14798779256259095
cash_growth_lowvol,"cashflow_yield,growth_peg,quality_roe,low_vol_60",10,20,2,inverse_vol,0.8492922851006424,0.09547619144598785,0.19307670260321808,0.6279449995871369,110794.55624000005,0.514362252208396,9.423529411764706,78.26404423529412,0.17713015747137784
value_lowvol,"earnings_yield,cashflow_yield,sales_yield,low_vol_60",12,30,1,equal,0.8907646352057692,0.09908573965793699,0.2164691359375911,0.627678250748966,113257.92620000002,0.40497085219214574,11.912280701754385,70.58024210526315,0.13790280684711054
v3_no_amihud_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,quality_roe",6,20,2,equal,1.3976904326165749,0.13849697182135534,0.25655095594015476,0.6239749491577652,143694.26109000004,0.4040494544009306,6.0,55.091046,0.1167888489345757
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",10,60,1,equal,0.9956966938408423,0.10792607831787349,0.23670851006059002,0.6233173996845233,119563.73232000001,0.6753403048607709,10.0,97.11267862068964,0.1524391881798277
v3_no_amihud_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,quality_roe",8,30,2,equal,1.1003389675371142,0.1163561822324779,0.31215604930000596,0.6219411302710873,125854.62324000002,0.4685104678917569,7.947368421052632,62.25222385964913,0.13720445165397002
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",15,20,1,equal,0.711415487193712,0.08295865079783948,0.15728289250338523,0.6217301670523492,102506.33439999999,0.4202585843751376,14.576470588235294,77.23136000000001,0.19795885381902045
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",15,60,1,equal,0.7940608982665669,0.09056053152121435,0.20288716608131752,0.6211679032425488,107453.02451999998,0.587032826371098,14.793103448275861,106.58536137931034,0.17871868501213542
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",10,20,2,equal,0.794136786591962,0.0905673735816177,0.22256615125096157,0.6199120920344665,107489.60048,0.5050172673134008,9.8,70.92234729411764,0.15788829673994476
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",15,20,1,equal,0.7711027716981489,0.08847922923413076,0.18334055272879968,0.6197764739557559,106077.97635999994,0.31696816946483475,14.729411764705882,61.32968988235294,0.1848605899405852
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",10,30,1,inverse_vol,0.7738316040384952,0.08872781464106683,0.29902773416646033,0.6177462331894693,106269.11572000007,0.5147508566130199,9.385964912280702,76.13832070175437,0.1688856226735717
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",8,30,2,inverse_vol,0.7219318041263638,0.08394310074800071,0.2375746310293494,0.6166196879755084,103174.47055999997,0.6606827767277494,7.614035087719298,82.57069192982455,0.1388552039483862
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",8,20,2,equal,0.9465434342176031,0.10383557502280905,0.31430932563760583,0.6143426741085359,116633.94540000003,0.4407922806037801,7.988235294117647,62.00064235294118,0.11821609781606028
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",12,60,2,inverse_vol,0.8044479399027389,0.09149473910225137,0.22116286891978643,0.6142310906600935,108088.54432000002,0.6770210723461789,11.310344827586206,106.32605793103447,0.18747304132153594
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",10,40,1,equal,0.9319227108705106,0.10260187478438176,0.27966602079612735,0.6133201645819011,115742.98367999998,0.5207242544913474,9.953488372093023,76.34921674418605,0.1577432480422357
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",10,60,1,inverse_vol,0.8332034823948928,0.0940573203857964,0.22772629466594818,0.6129950299674546,109828.11867999999,0.7155867261399179,9.551724137931034,101.72004551724139,0.16372671165257058
v3_no_amihud_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,quality_roe",6,40,1,equal,1.3338174311492024,0.13394663193514522,0.22080028502247206,0.6129879346548054,139865.74885,0.6210967540958271,6.0,71.86630581395347,0.12849299736868952
value_lowvol,"earnings_yield,cashflow_yield,sales_yield,low_vol_60",6,20,1,inverse_vol,1.0515748426215712,0.1124732872892098,0.21968796695659343,0.6129688209499107,122946.18491999996,0.421190192132489,6.0,59.715471529411765,0.08461543313547966
quality_growth_momentum,"quality_roe,growth_peg,momentum_60,ma_slope_60",12,30,1,inverse_vol,0.8877107114297083,0.09882225316134541,0.275198695124491,0.6096130726061352,113076.19516000002,0.7268681125765506,10.701754385964913,117.24219017543861,0.22247809381915548
